NUMBER,BILL_LINK,TITLE,FILED_BY,LAST_ACTION_AND_LOCATION
SJR 362,https://www.flsenate.gov/Session/Bill/2019/00362,Abolishing the Constitution Revision Commission,Brandes,"Last Action: 4/10/2019 S Placed on Calendar, on 2nd reading"
SB 364,https://www.flsenate.gov/Session/Bill/2019/00364,Prohibited Places for Weapons and Firearms,Braynon,Last Action: 3/5/2019 S Introduced -SJ 58
SB 366,https://www.flsenate.gov/Session/Bill/2019/00366,Infectious Disease Elimination Programs,Braynon,Last Action: 4/11/2019 H Received -HJ 664
SB 368,https://www.flsenate.gov/Session/Bill/2019/00368,Land Acquisition Trust Fund,Harrell,"Last Action: 3/13/2019 S Now in Appropriations Subcommittee on Agriculture, Environment, and  General Government"
SB 370,https://www.flsenate.gov/Session/Bill/2019/00370,Victims of Human Trafficking,Harrell,Last Action: 3/5/2019 S CS by Criminal Justice read 1st time -SJ 155
SB 372,https://www.flsenate.gov/Session/Bill/2019/00372,Smoking Marijuana for Medical Use,Farmer,Last Action: 3/5/2019 S Introduced -SJ 58
SB 374,https://www.flsenate.gov/Session/Bill/2019/00374,Children and Youth Cabinet,Harrell,Last Action: 4/10/2019 S Placed on 3rd reading
SB 376,https://www.flsenate.gov/Session/Bill/2019/00376,Land Acquisition Trust Fund,Montford,Last Action: 3/7/2019 S CS by Environment and Natural Resources read 1st time -SJ 189
SB 378,https://www.flsenate.gov/Session/Bill/2019/00378,Florida Security for Public Deposits Act,Hutson,Last Action: 3/5/2019 S Introduced -SJ 59
SB 380,https://www.flsenate.gov/Session/Bill/2019/00380,Homeowners’ Insurance Policy Disclosures,Brandes,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 382,https://www.flsenate.gov/Session/Bill/2019/00382,Teacher Scholarship Program,Montford,Last Action: 4/10/2019 S Now in Appropriations Subcommittee on Education
SB 384,https://www.flsenate.gov/Session/Bill/2019/00384,Medical Use of Marijuana in Schools,Montford,Last Action: 3/5/2019 S Introduced -SJ 59
SB 386,https://www.flsenate.gov/Session/Bill/2019/00386,Directional Signs for Veterans’ Facilities,Farmer,Last Action: 3/5/2019 S Introduced -SJ 59
SB 388,https://www.flsenate.gov/Session/Bill/2019/00388,"Continuing Education for Barbers, Cosmetologists, and Specialists",Farmer,Last Action: 3/5/2019 S Introduced -SJ 60
SB 390,https://www.flsenate.gov/Session/Bill/2019/00390,X-linked Myotubular Myopathy,Cruz,Last Action: 3/5/2019 S Introduced -SJ 60
SB 392,https://www.flsenate.gov/Session/Bill/2019/00392,Disclosure of Sinkhole Activity,Farmer,Last Action: 3/5/2019 S Introduced -SJ 60
SB 394,https://www.flsenate.gov/Session/Bill/2019/00394,Criminal History Records in Applications,Farmer,Last Action: 3/5/2019 S Introduced -SJ 60
SB 396,https://www.flsenate.gov/Session/Bill/2019/00396,Campaign Finance,Farmer,Last Action: 3/5/2019 S Introduced -SJ 60
SB 398,https://www.flsenate.gov/Session/Bill/2019/00398,Prior Authorization for Opioid Alternatives,Farmer,Last Action: 3/5/2019 S Introduced -SJ 60
SB 400,https://www.flsenate.gov/Session/Bill/2019/00400,Mandatory Sentences,Brandes,Last Action: 3/5/2019 S Introduced -SJ 60
SB 402,https://www.flsenate.gov/Session/Bill/2019/00402,Employment after Retirement of School District Personnel,Gruters,Last Action: 3/5/2019 S Introduced -SJ 60
SB 404,https://www.flsenate.gov/Session/Bill/2019/00404,Strategic Fuel Reserve,Farmer,Last Action: 4/10/2019 S Now in Rules
SB 406,https://www.flsenate.gov/Session/Bill/2019/00406,Theft,Brandes,Last Action: 3/8/2019 S Now in Appropriations
SB 408,https://www.flsenate.gov/Session/Bill/2019/00408,Drug Offenses,Brandes,Last Action: 3/5/2019 S CS by Criminal Justice read 1st time -SJ 155
SB 410,https://www.flsenate.gov/Session/Bill/2019/00410,Long-acting Reversible Contraception Pilot Program,Berman,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Health and Human Services, 04/16/19, 1:00 pm, 412 Knott Building"
SB 412,https://www.flsenate.gov/Session/Bill/2019/00412,Access to Clinics,Stewart,Last Action: 3/5/2019 S Introduced -SJ 61
SB 414,https://www.flsenate.gov/Session/Bill/2019/00414,Sports Development,Lee,Last Action: 3/5/2019 S Introduced -SJ 61
SB 416,https://www.flsenate.gov/Session/Bill/2019/00416,High School Graduation Requirements,Gruters,Last Action: 3/5/2019 S Introduced -SJ 61
SB 418,https://www.flsenate.gov/Session/Bill/2019/00418,Essential Health Benefits Under Health Plans,Simpson,"Last Action: 4/12/2019 S Placed on Calendar, on 2nd reading"
SB 420,https://www.flsenate.gov/Session/Bill/2019/00420,Consumer Protection,Baxley,Last Action: 3/5/2019 S Introduced -SJ 61
SJR 422,https://www.flsenate.gov/Session/Bill/2019/00422,Election of the Commissioner of Education,Cruz,Last Action: 3/5/2019 S Introduced -SJ 62
SB 424,https://www.flsenate.gov/Session/Bill/2019/00424,License Plate Decals for Organ Donors,Perry,Last Action: 3/5/2019 S Introduced -SJ 62
SB 426,https://www.flsenate.gov/Session/Bill/2019/00426,Firefighters,Flores,Last Action: 4/11/2019 S CS/CS by- Appropriations; YEAS 19 NAYS 0
SB 428,https://www.flsenate.gov/Session/Bill/2019/00428,Growth Management,Perry,Last Action: 4/2/2019 S CS by Community Affairs read 1st time -SJ 288
SB 430,https://www.flsenate.gov/Session/Bill/2019/00430,Prohibited Discrimination,Rouson,Last Action: 3/5/2019 S Introduced -SJ 62
SB 432,https://www.flsenate.gov/Session/Bill/2019/00432,Employment Conditions,Gruters,Last Action: 3/12/2019 S Now in Community Affairs
SB 434,https://www.flsenate.gov/Session/Bill/2019/00434,Ambulatory Surgical Centers,Harrell,"Last Action: 4/9/2019 S On Committee agenda-- Appropriations Subcommittee on Health and Human Services, 04/09/19, 4:00 pm, 412 Knott Building --Not Considered"
SB 436,https://www.flsenate.gov/Session/Bill/2019/00436,Use of Vessel Registration Fees,Hooper,Last Action: 4/10/2019 S Placed on 3rd reading
SB 438,https://www.flsenate.gov/Session/Bill/2019/00438,Prohibited Discrimination,Gruters,Last Action: 3/5/2019 S Introduced -SJ 63
SB 440,https://www.flsenate.gov/Session/Bill/2019/00440,Florida Commission on Human Relations,Rouson,Last Action: 3/19/2019 S Now in Rules
SB 442,https://www.flsenate.gov/Session/Bill/2019/00442,Postsecondary Education for Certain Military Personnel,Lee,"Last Action: 4/12/2019 S Placed on Calendar, on 2nd reading"
SB 444,https://www.flsenate.gov/Session/Bill/2019/00444,Homestead Taxation,Bean,Last Action: 3/5/2019 S Introduced -SJ 63
SB 446,https://www.flsenate.gov/Session/Bill/2019/00446,Coastal Management,Mayfield,Last Action: 3/13/2019 S Now in Appropriations
SB 448,https://www.flsenate.gov/Session/Bill/2019/00448,Advanced Birth Centers,Harrell,Last Action: 3/5/2019 S Introduced -SJ 63
SB 450,https://www.flsenate.gov/Session/Bill/2019/00450,Public Records and Public Meetings/Local Government Utility,Gibson,"Last Action: 4/10/2019 S Laid on Table, refer to CS/CS/HB 327 -SJ 341"
SB 452,https://www.flsenate.gov/Session/Bill/2019/00452,Elder Abuse Fatality Review Teams,Gibson,"Last Action: 4/12/2019 S Placed on Calendar, on 2nd reading"
SB 454,https://www.flsenate.gov/Session/Bill/2019/00454,Public Records and Public Meetings/Elder Abuse Fatality Review Team,Gibson,"Last Action: 3/26/2019 S On Committee agenda-- Governmental Oversight and Accountability, 03/26/19, 1:30 pm, 301 Senate Building --Temporarily Postponed"
SB 456,https://www.flsenate.gov/Session/Bill/2019/00456,Historically Black Colleges and Universities Matching Endowment Scholarship Program,Gibson,Last Action: 4/10/2019 S Now in Appropriations Subcommittee on Education
SB 458,https://www.flsenate.gov/Session/Bill/2019/00458,Trust Funds/Historically Black Colleges and Universities Matching Endowment Scholarship Trust Fund,Gibson,Last Action: 4/10/2019 S Now in Appropriations Subcommittee on Education
SB 460,https://www.flsenate.gov/Session/Bill/2019/00460,Elections,Gibson,Last Action: 3/5/2019 S Introduced -SJ 65
SB 462,https://www.flsenate.gov/Session/Bill/2019/00462,Judicial Process,Powell,"Last Action: 4/3/2019 S Laid on Table, refer to CS/CS/HB 91 -SJ 308"
SB 464,https://www.flsenate.gov/Session/Bill/2019/00464,Prepaid College Plans,Flores,Last Action: 4/11/2019 S CS/CS by- Appropriations; YEAS 20 NAYS 0
SB 466,https://www.flsenate.gov/Session/Bill/2019/00466,Assault Weapons and Large-capacity Magazines,Farmer,Last Action: 3/5/2019 S Introduced -SJ 65
SB 468,https://www.flsenate.gov/Session/Bill/2019/00468,Firearms,Farmer,Last Action: 3/5/2019 S Introduced -SJ 65
SB 470,https://www.flsenate.gov/Session/Bill/2019/00470,Fees,Farmer,Last Action: 3/5/2019 S Introduced -SJ 65
SB 472,https://www.flsenate.gov/Session/Bill/2019/00472,Death Penalty,Farmer,Last Action: 3/5/2019 S Introduced -SJ 65
SB 474,https://www.flsenate.gov/Session/Bill/2019/00474,Discrimination in Labor and Employment,Stewart,Last Action: 3/5/2019 S Introduced -SJ 66
SB 476,https://www.flsenate.gov/Session/Bill/2019/00476,Child Restraint Requirements,Perry,Last Action: 4/8/2019 S Now in Rules
SB 478,https://www.flsenate.gov/Session/Bill/2019/00478,Office of Drug Control,Rader,Last Action: 3/5/2019 S Introduced -SJ 66
SB 480,https://www.flsenate.gov/Session/Bill/2019/00480,Specialty License Plates/Highwaymen,Rouson,Last Action: 4/4/2019 S CS by Infrastructure and Security read 1st time -SJ 325
SB 482,https://www.flsenate.gov/Session/Bill/2019/00482,Fees/Highwaymen License Plate,Rouson,Last Action: 4/4/2019 S CS by Infrastructure and Security read 1st time -SJ 325
SB 484,https://www.flsenate.gov/Session/Bill/2019/00484,Specialty License Plates/Florida State Beekeepers Association,Rader,Last Action: 4/4/2019 S CS by Infrastructure and Security read 1st time -SJ 326
SB 486,https://www.flsenate.gov/Session/Bill/2019/00486,Fees/Florida State Beekeepers Association License Plate,Rader,Last Action: 4/4/2019 S CS by Infrastructure and Security read 1st time -SJ 326
SB 488,https://www.flsenate.gov/Session/Bill/2019/00488,Drug Safety,Pizzo,Last Action: 3/5/2019 S Introduced -SJ 66
SB 490,https://www.flsenate.gov/Session/Bill/2019/00490,Statewide Procurement Efficiency Task Force,Albritton,"Last Action: 3/12/2019 S Now in Appropriations Subcommittee on Agriculture, Environment, and  General Government"
SB 492,https://www.flsenate.gov/Session/Bill/2019/00492,Capital Relocation Study,Rader,Last Action: 3/5/2019 S Introduced -SJ 67
SB 494,https://www.flsenate.gov/Session/Bill/2019/00494,Firefighters’ Bill of Rights,Hooper,Last Action: 3/26/2019 S CS/CS by Rules read 1st time -SJ 267
SB 496,https://www.flsenate.gov/Session/Bill/2019/00496,Insurance Guaranty Associations,Rader,Last Action: 3/20/2019 S Now in Appropriations
SB 498,https://www.flsenate.gov/Session/Bill/2019/00498,Fire Safety and Prevention,Powell,Last Action: 3/12/2019 S Now in Rules
SB 500,https://www.flsenate.gov/Session/Bill/2019/00500,Gun Safety,Stewart,Last Action: 3/5/2019 S Introduced -SJ 67
SB 502,https://www.flsenate.gov/Session/Bill/2019/00502,Prohibition of Plastic Carryout Bags and Straws,Rader,Last Action: 3/5/2019 S Introduced -SJ 67
SB 504,https://www.flsenate.gov/Session/Bill/2019/00504,Alcohol and Substance Abuse Prevention,Rouson,Last Action: 3/5/2019 S Introduced -SJ 67
SB 506,https://www.flsenate.gov/Session/Bill/2019/00506,High School Equivalency Diploma Program,Rouson,Last Action: 3/5/2019 S Introduced -SJ 67
SB 508,https://www.flsenate.gov/Session/Bill/2019/00508,Specifications for Ballots,Gruters,Last Action: 3/5/2019 S Introduced -SJ 67
SB 510,https://www.flsenate.gov/Session/Bill/2019/00510,Income Inequality Impact Statements,Rader,Last Action: 3/5/2019 S Introduced -SJ 68
SB 512,https://www.flsenate.gov/Session/Bill/2019/00512,Income Inequality,Rader,Last Action: 3/5/2019 S Introduced -SJ 68
SB 514,https://www.flsenate.gov/Session/Bill/2019/00514,Medical Negligence,Rader,Last Action: 3/5/2019 S Introduced -SJ 68
SB 516,https://www.flsenate.gov/Session/Bill/2019/00516,Smoking in State Parks,Gruters,Last Action: 3/5/2019 S Introduced -SJ 68
SB 518,https://www.flsenate.gov/Session/Bill/2019/00518,Public Meetings,Rader,Last Action: 3/5/2019 S Introduced -SJ 68
SB 520,https://www.flsenate.gov/Session/Bill/2019/00520,Funding for School Districts,Montford,Last Action: 4/2/2019 S Now in Appropriations Subcommittee on Education
SB 522,https://www.flsenate.gov/Session/Bill/2019/00522,Apprenticeship Programs,Diaz,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Education, 04/16/19, 9:00 am, 412 Knott Building"
SB 524,https://www.flsenate.gov/Session/Bill/2019/00524,Health Insurance Savings Programs,Diaz,Last Action: 3/26/2019 S Now in Appropriations
SB 526,https://www.flsenate.gov/Session/Bill/2019/00526,Entertainment Industry,Gruters,Last Action: 3/5/2019 S CS by Commerce and Tourism read 1st time -SJ 155
SB 528,https://www.flsenate.gov/Session/Bill/2019/00528,Mental Health and Substance Use Disorders,Rouson,Last Action: 3/14/2019 S Now in Appropriations
SB 530,https://www.flsenate.gov/Session/Bill/2019/00530,Alcohol or Drug Overdose Prosecutions,Brandes,"Last Action: 4/10/2019 S Placed on Calendar, on 2nd reading"
SB 532,https://www.flsenate.gov/Session/Bill/2019/00532,Wetland Mitigation,Lee,"Last Action: 3/28/2019 S Placed on Calendar, on 2nd reading"
SB 534,https://www.flsenate.gov/Session/Bill/2019/00534,Pretrial Release,Brandes,Last Action: 3/11/2019 S Now in Appropriations Subcommittee on Criminal and Civil Justice
SB 536,https://www.flsenate.gov/Session/Bill/2019/00536,911 Services,Brandes,Last Action: 3/21/2019 S Now in Appropriations
SB 538,https://www.flsenate.gov/Session/Bill/2019/00538,Nonadmitted Insurance Market Reform,Brandes,Last Action: 4/10/2019 S Now in Appropriations
SB 540,https://www.flsenate.gov/Session/Bill/2019/00540,Human Trafficking,Book,Last Action: 3/14/2019 S CS/CS by Community Affairs read 1st time -SJ 240
SB 542,https://www.flsenate.gov/Session/Bill/2019/00542,Mobility Devices and Motorized Scooters,Brandes,Last Action: 4/10/2019 S Now in Appropriations
SB 544,https://www.flsenate.gov/Session/Bill/2019/00544,Airports,Brandes,Last Action: 3/5/2019 S Introduced -SJ 71
SB 546,https://www.flsenate.gov/Session/Bill/2019/00546,Licensure of Check Cashers,Brandes,Last Action: 3/5/2019 S Introduced -SJ 71
SB 548,https://www.flsenate.gov/Session/Bill/2019/00548,Electronic Legal Documents,Brandes,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 550,https://www.flsenate.gov/Session/Bill/2019/00550,Homeowners’ Insurance Policies,Cruz,Last Action: 3/5/2019 S Introduced -SJ 72
SB 552,https://www.flsenate.gov/Session/Bill/2019/00552,Presidential Electors,Rader,Last Action: 3/5/2019 S Introduced -SJ 72
SB 554,https://www.flsenate.gov/Session/Bill/2019/00554,"Offenses Against Brokers, Broker Associates, or Sales Associates",Pizzo,Last Action: 3/5/2019 S Introduced -SJ 72
SB 556,https://www.flsenate.gov/Session/Bill/2019/00556,Primary Elections,Rader,Last Action: 3/5/2019 S Introduced -SJ 72
SB 558,https://www.flsenate.gov/Session/Bill/2019/00558,Termination of Pregnancy,Gruters,Last Action: 3/5/2019 S Introduced -SJ 72
SB 560,https://www.flsenate.gov/Session/Bill/2019/00560,Public Records/Physician Abortion Reports/Department of Health,Gruters,Last Action: 3/5/2019 S Introduced -SJ 72
SB 562,https://www.flsenate.gov/Session/Bill/2019/00562,Homestead Exemptions,Diaz,Last Action: 3/7/2019 S CS by Community Affairs read 1st time -SJ 190
SB 564,https://www.flsenate.gov/Session/Bill/2019/00564,Pilot Program for Truth-in-millage Notices,Hooper,Last Action: 4/2/2019 S CS by Community Affairs read 1st time -SJ 288
SB 566,https://www.flsenate.gov/Session/Bill/2019/00566,Sinkhole and Catastrophic Ground Cover Collapse Insurance,Hooper,Last Action: 3/5/2019 S Introduced -SJ 73
SB 568,https://www.flsenate.gov/Session/Bill/2019/00568,Assessment of Property,Diaz,Last Action: 3/14/2019 S CS by Community Affairs read 1st time -SJ 241
SB 570,https://www.flsenate.gov/Session/Bill/2019/00570,Laser Hair Removal or Reduction,Diaz,Last Action: 3/5/2019 S Introduced -SJ 73
SB 572,https://www.flsenate.gov/Session/Bill/2019/00572,Insurance Coverage for Hearing Aids for Children,Baxley,Last Action: 4/1/2019 S Now in Appropriations
SB 574,https://www.flsenate.gov/Session/Bill/2019/00574,Special Risk Class,Diaz,Last Action: 3/13/2019 S CS by Governmental Oversight and Accountability read 1st time -SJ 230
SB 576,https://www.flsenate.gov/Session/Bill/2019/00576,Back-to-school Sales Tax Holiday,Perry,Last Action: 4/9/2019 S CS by Finance and Tax read 1st time -SJ 334
SB 578,https://www.flsenate.gov/Session/Bill/2019/00578,Professional Geology,Broxson,Last Action: 3/5/2019 S Introduced -SJ 73
SB 580,https://www.flsenate.gov/Session/Bill/2019/00580,Taxation of Aircraft Sales and Leases,Bean,Last Action: 3/5/2019 S Introduced -SJ 73
SB 582,https://www.flsenate.gov/Session/Bill/2019/00582,Voting Systems,Diaz,Last Action: 3/26/2019 S Now in Governmental Oversight and Accountability
SB 584,https://www.flsenate.gov/Session/Bill/2019/00584,Charter Schools,Cruz,Last Action: 3/5/2019 S Introduced -SJ 74
SB 586,https://www.flsenate.gov/Session/Bill/2019/00586,Structurally Sound and Accessible School Facilities,Cruz,Last Action: 3/5/2019 S Introduced -SJ 74
SB 588,https://www.flsenate.gov/Session/Bill/2019/00588,Preemption of Local Regulations,Hutson,Last Action: 4/11/2019 S Now in Rules
SB 590,https://www.flsenate.gov/Session/Bill/2019/00590,State Park Fees,Albritton,"Last Action: 3/13/2019 S Now in Appropriations Subcommittee on Agriculture, Environment, and  General Government"
SB 592,https://www.flsenate.gov/Session/Bill/2019/00592,Prescription Drug Monitoring Program,Albritton,Last Action: 4/3/2019 S Retained on Calendar
SB 594,https://www.flsenate.gov/Session/Bill/2019/00594,State Shared Revenues,Hutson,Last Action: 3/5/2019 S Introduced -SJ 74
SB 596,https://www.flsenate.gov/Session/Bill/2019/00596,Regional Rural Development Grants,Albritton,Last Action: 4/10/2019 S Placed on 3rd reading
SB 598,https://www.flsenate.gov/Session/Bill/2019/00598,Firearms,Albritton,Last Action: 3/5/2019 S CS by Judiciary read 1st time -SJ 156
SB 600,https://www.flsenate.gov/Session/Bill/2019/00600,Public Records/Meter-derived Data and Billing Information,Gibson,"Last Action: 4/10/2019 S Placed on Calendar, on 2nd reading"
SB 602,https://www.flsenate.gov/Session/Bill/2019/00602,Public Records,Perry,Last Action: 4/12/2019 S Now in Judiciary
SB 604,https://www.flsenate.gov/Session/Bill/2019/00604,Registered Contractor Licensing,Pizzo,Last Action: 4/3/2019 S Now in Rules
SB 606,https://www.flsenate.gov/Session/Bill/2019/00606,Sexual Battery Offenses,Pizzo,Last Action: 3/21/2019 S Withdrawn from further consideration
SB 608,https://www.flsenate.gov/Session/Bill/2019/00608,Railroad-highway Grade Crossings,Bean,"Last Action: 4/2/2019 S On Committee agenda-- Infrastructure and Security, 04/02/19, 2:00 pm, 110 Senate Building --Temporarily Postponed"
SB 610,https://www.flsenate.gov/Session/Bill/2019/00610,Condominium Associations,Pizzo,"Last Action: 4/4/2019 S CS/CS by Innovation, Industry, and Technology read 1st time -SJ 326"
SB 612,https://www.flsenate.gov/Session/Bill/2019/00612,Driving Under the Influence,Baxley,Last Action: 3/5/2019 S Introduced -SJ 75
SB 614,https://www.flsenate.gov/Session/Bill/2019/00614,Interstate Insurance Product Regulation Compact,Broxson,Last Action: 3/5/2019 S Introduced -SJ 76
SB 616,https://www.flsenate.gov/Session/Bill/2019/00616,Engineering,Perry,Last Action: 4/11/2019 S Now in Rules
SB 618,https://www.flsenate.gov/Session/Bill/2019/00618,Tax on Commercial Real Property,Perry,Last Action: 3/5/2019 S Introduced -SJ 76
SB 620,https://www.flsenate.gov/Session/Bill/2019/00620,Military Affairs,Broxson,Last Action: 4/11/2019 S Now in Rules
SB 622,https://www.flsenate.gov/Session/Bill/2019/00622,Traffic Infraction Detectors,Brandes,"Last Action: 4/9/2019 S On Committee agenda-- Infrastructure and Security, 04/09/19, 10:00 am, 110 Senate Building --Temporarily Postponed"
SB 624,https://www.flsenate.gov/Session/Bill/2019/00624,Youth in Solitary Confinement,Montford,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Criminal and Civil Justice, 04/16/19, 9:00 am, 37 Senate Building"
SB 626,https://www.flsenate.gov/Session/Bill/2019/00626,Insurer Guaranty Associations,Brandes,Last Action: 4/11/2019 S CS/CS by- Appropriations; YEAS 18 NAYS 0
SB 628,https://www.flsenate.gov/Session/Bill/2019/00628,Water Resources,Albritton,Last Action: 4/2/2019 S CS by Environment and Natural Resources read 1st time -SJ 289
SB 630,https://www.flsenate.gov/Session/Bill/2019/00630,Nonopioid Alternatives,Perry,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SR 632,https://www.flsenate.gov/Session/Bill/2019/00632,Tampa Theatre,Rouson,Last Action: 3/14/2019 S Adopted -SJ 234
SB 634,https://www.flsenate.gov/Session/Bill/2019/00634,Child Welfare,Rouson,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Health and Human Services, 04/16/19, 1:00 pm, 412 Knott Building"
SB 636,https://www.flsenate.gov/Session/Bill/2019/00636,Use or Threatened Use of Force,Braynon,Last Action: 3/5/2019 S Introduced -SJ 78
SB 638,https://www.flsenate.gov/Session/Bill/2019/00638,Reemployment Assistance Program Law Contribution Rates,Braynon,Last Action: 3/5/2019 S Introduced -SJ 78
SB 640,https://www.flsenate.gov/Session/Bill/2019/00640,Trust Funds/Florida Business and Workforce Competitiveness Trust Fund,Braynon,Last Action: 3/5/2019 S Introduced -SJ 78
SB 642,https://www.flsenate.gov/Session/Bill/2019/00642,Criminal Justice,Brandes,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Criminal and Civil Justice, 04/16/19, 9:00 am, 37 Senate Building"
SB 644,https://www.flsenate.gov/Session/Bill/2019/00644,Delivery of Nursing Services,Braynon,Last Action: 3/5/2019 S Introduced -SJ 79
SB 646,https://www.flsenate.gov/Session/Bill/2019/00646,Child Welfare,Book,"Last Action: 4/4/2019 S On Committee agenda-- Appropriations Subcommittee on Health and Human Services, 04/04/19, 12:30 pm, 412 Knott Building --Not Considered"
SB 648,https://www.flsenate.gov/Session/Bill/2019/00648,Continuing Education for Dentists,Mayfield,"Last Action: 4/4/2019 S Placed on Calendar, on 2nd reading"
SB 650,https://www.flsenate.gov/Session/Bill/2019/00650,Health Insurer Authorization,Mayfield,Last Action: 3/5/2019 S Introduced -SJ 79
SB 652,https://www.flsenate.gov/Session/Bill/2019/00652,State Procurement,Berman,Last Action: 3/5/2019 S Introduced -SJ 80
SB 654,https://www.flsenate.gov/Session/Bill/2019/00654,Transfers of Firearms,Book,Last Action: 3/5/2019 S Introduced -SJ 80
SB 656,https://www.flsenate.gov/Session/Bill/2019/00656,Background Screening,Baxley,Last Action: 4/10/2019 S Now in Appropriations
SB 658,https://www.flsenate.gov/Session/Bill/2019/00658,Property Assessment Administration,Albritton,"Last Action: 3/26/2019 S Now in Appropriations Subcommittee on Agriculture, Environment, and General Government"
SB 660,https://www.flsenate.gov/Session/Bill/2019/00660,Transportation,Brandes,Last Action: 3/5/2019 S Introduced -SJ 80
SB 662,https://www.flsenate.gov/Session/Bill/2019/00662,Fees/Electronic ID/Department of Highway Safety and Motor Vehicles,Brandes,Last Action: 3/5/2019 S Introduced -SJ 81
SB 664,https://www.flsenate.gov/Session/Bill/2019/00664,Fees/Validation Sticker/International Registration Plan,Brandes,Last Action: 3/5/2019 S Introduced -SJ 81
SB 666,https://www.flsenate.gov/Session/Bill/2019/00666,Veterinary Medicine,Hooper,"Last Action: 3/5/2019 S Now in Innovation, Industry, and Technology"
SB 668,https://www.flsenate.gov/Session/Bill/2019/00668,Public Nuisances,Perry,Last Action: 4/9/2019 S Now in Rules
SB 670,https://www.flsenate.gov/Session/Bill/2019/00670,Assisted and Independent Living Task Force,Rader,Last Action: 3/26/2019 S CS by Governmental Oversight and Accountability read 1st time -SJ 267
SB 672,https://www.flsenate.gov/Session/Bill/2019/00672,Beverage Container Deposits,Rader,Last Action: 3/5/2019 S Introduced -SJ 82
SB 674,https://www.flsenate.gov/Session/Bill/2019/00674,Construction Contracting Qualifications,Montford,Last Action: 3/5/2019 S Introduced -SJ 82
SB 676,https://www.flsenate.gov/Session/Bill/2019/00676,Certificates of Title for Vessels,Hooper,Last Action: 4/11/2019 S Now in Appropriations
SR 678,https://www.flsenate.gov/Session/Bill/2019/00678,Marion County Day,Perry,Last Action: 3/14/2019 S Adopted -SJ 235
SB 680,https://www.flsenate.gov/Session/Bill/2019/00680,Excess Credit Hour Surcharges,Perry,Last Action: 4/4/2019 S Now in Appropriations
SR 682,https://www.flsenate.gov/Session/Bill/2019/00682,Venezuela/Juan Guaidó,Diaz,Last Action: 3/14/2019 S Adopted -SJ 236
SB 684,https://www.flsenate.gov/Session/Bill/2019/00684,Dental Therapy,Brandes,"Last Action: 3/13/2019 S On Committee agenda-- Children, Families, and Elder Affairs, 03/18/19, 4:00 pm, 301 Senate Building --Amendment(s) Adopted - Temporarily Postponed"
SB 686,https://www.flsenate.gov/Session/Bill/2019/00686,Fees/Dental Therapists,Brandes,"Last Action: 3/18/2019 S On Committee agenda-- Children, Families, and Elder Affairs, 03/18/19, 4:00 pm, 301 Senate Building --Not Considered"
SB 688,https://www.flsenate.gov/Session/Bill/2019/00688,Disabled Parking Permits,Diaz,Last Action: 3/5/2019 S Introduced -SJ 83
SJR 690,https://www.flsenate.gov/Session/Bill/2019/00690,Single Subject Limitation for Taxation and Budget Reform Commission,Rodriguez,"Last Action: 3/21/2019 S Placed on Calendar, on 2nd reading"
SB 692,https://www.flsenate.gov/Session/Bill/2019/00692,Employment Practices,Cruz,Last Action: 3/5/2019 S Introduced -SJ 83
SB 694,https://www.flsenate.gov/Session/Bill/2019/00694,Disposable Plastic Bags,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 84
SB 696,https://www.flsenate.gov/Session/Bill/2019/00696,Budgets of County Constitutional Officers,Hutson,"Last Action: 4/9/2019 S On Committee agenda-- Community Affairs, 04/09/19, 10:00 am, 301 Senate Building --Temporarily Postponed"
SB 698,https://www.flsenate.gov/Session/Bill/2019/00698,Collective Bargaining for Instructional Personnel,Stewart,Last Action: 3/5/2019 S Introduced -SJ 84
SB 700,https://www.flsenate.gov/Session/Bill/2019/00700,Insurance Coverage for Mental and Nervous Disorders,Stewart,Last Action: 3/5/2019 S Introduced -SJ 84
SB 702,https://www.flsenate.gov/Session/Bill/2019/00702,Qualified Blind Trusts,Lee,"Last Action: 4/10/2019 S Placed on Calendar, on 2nd reading"
SB 704,https://www.flsenate.gov/Session/Bill/2019/00704,General Savings Provisions,Rouson,Last Action: 3/5/2019 S Introduced -SJ 84
SB 706,https://www.flsenate.gov/Session/Bill/2019/00706,Institutional Pharmacies,Bean,Last Action: 3/5/2019 S Introduced -SJ 84
SB 708,https://www.flsenate.gov/Session/Bill/2019/00708,Sale of Sunscreen,Stewart,Last Action: 4/4/2019 S Withdrawn from further consideration -SJ 325
SB 710,https://www.flsenate.gov/Session/Bill/2019/00710,Administrative Review of Property Taxes,Baxley,Last Action: 3/26/2019 S CS by Community Affairs read 1st time -SJ 268
